20,,,研发快板制作,华联样板生产,,,马宏杰,2026/9/16,2026/10/25,生产文件,功能样板快板,/,,,,,,,
22,,生产导入,PCBA工艺确认,生产工艺问题评审、硬件方案优化。生产版本（.0）生成、管控,,,赵国峰,2026/9/16,2026/9/18,工艺问题台账,试产版本PCB生产文件及试产BOM,/,,,,,,,
23,,,PCBA工装确认,FCT生产工装确认、生产（测试用压机、风机或整机）,,,赵国峰,2026/9/15,2026/12/10,生产检测工装原理图、技术条件及评审资料,生产工装,/,,,,,,,
24,,,PCBA烧录方案,研发烧录、生产烧录方案确认,,,赵国峰,2026/9/15,2026/12/10,烧录器、加密烧录程序,烧录方案,/,,,,,,,
25,,,生产检测方案确认,生产检验方案确认,,,"刘恒
 赵国峰",2026/9/15,2026/12/10,自检流程、测试工装,/,/,,,,,,,
26,,,样板试产评审,PCBA样板试制评审,,,赵国峰,2026/10/26,2026/10/26,生产文件（工艺评审）、研发BOM,PCBA样板、生产文件、试产BOM,"编制：项目经理
 会签：软件工程师、硬件工程师、测试工程师、采购、质量、工艺工程师、市场经理
 批准：设计部门长、供应链部门长、市场部门长",              ,,,,,,
27,,一方测试,硬件一方测试及设计优化,硬件一方测试及设计优化(原理图、PCB优化、样板制作),,,李庆飞,2026/12/1,2026/12/15,功能样板快板,硬件一方测试报告,"编制：硬件工程师
 会签：项目经理
 批准：设计部门长",,,,,,,
28,,,,PCBA样板,,,马宏杰,,2026/12/30,生产文件（工艺评审）、研发BOM,PCBA样板,/,,,,,,,
29,,,控制板样板实物评审,样板评审报告 （含整机适配性）,,,查良,,,功能样板快板、试产样板,控制板样板评审表，样板项目经理封样1块,"编制：测试工程师
 会签：项目经理、硬件工程师
 批准：设计部门长",,,,,,,
30,,,主控软件一方测试,主控软件一方测试,,,/,,,功能样板快板,软件一方测试报告,"编制：软件工程师
 会签：项目经理
 批准：设计部门长",              ,,,,,,
31,,,驱动软件一方测试,驱动软件一方测试,,,刘恒,2026/10/16,2026/10/30,功能样板快板,测试报告及评审资料，会议纪要,"编制：软件工程师
 会签：项目经理
 批准：设计部门长",              ,,,,,,
32,,,软件测试方案,软件测试用例及评审,,,张宗法,,2026/10/30,测试计划、客户需求确认清单、设计雷区、DFMEA、问题台账,测试用例,"编制：软件测试工程师
 会签：质量工程师
 批准：设计部门长、质量部门长",              ,,,,,,
33,,,硬件测试方案,硬件测试项目及评审，,,,查良,,2026/10/30,测试计划、、客户需求确认清单、设计雷区、DFMEA、问题台账,测试bom,"编制：硬件测试工程师
 会签：质量工程师
 批准：设计部门长、质量部门长",              ,,,,,,
34,,,★二方转测评审,市场、设计、测试、采购评审,,,田光伟,2026/10/30,2026/10/30,一方测试报告、二方测试方案、客户整机测试方案、生产资料（烧录方案、测试工装、试产文件等）,转测评审资料,"编制：项目经理
 会签：软件工程师、硬件工程师、测试工程师、采购、质量
 批准：设计部门长、质量部门长",              ,,,,,,
35,,二方测试,软件二方测试,根据测试方案测试,,,张宗法,2026/11/1,2026/12/30,软件二次测试方案、整机,软件测试报告及评审资料，会议纪要,"编制：软件测试工程师
 会签：质量工程师
 批准：设计部门长、质量部门长",              ,,,,,,
36,,,硬件二方测试,根据测试方案测试,,,查良,2026/11/1,2026/11/30,软件二次测试方案、整机,硬件测试报告及评审资料，会议纪要,"编制：硬件测试工程师
 会签：质量工程师
 批准：设计部门长、质量部门长",              ,,,,,,
37,,,成本复核,控制器成本核算,,,牛文广,,,,成本复核表,"编制：产品经理
 会签：采购、硬件工程师、项目经理
 审核：市场部门长、采购部门长",,,,,,,
38,,,★二方转三方评审,二方、摸底测试报告评审，设计输入全面评审闭环,,,田光伟,,,全流程设计资料、设计退出审核清单,评审会议纪要,"编制：项目经理
 会签：软件工程师、硬件工程师、测试工程师、采购、质量、工艺工程师、市场经理
 批准：设计部门长、供应链部门长、市场部门长",              ,,,,,,
39,,,样板试产评审,PCBA样板,,,田光伟,,,生产文件（工艺评审）、研发BOM,PCBA样板,/,,,,,,,
,产品验证,,客户整机测试,TR4：研发样机匹配测试,,,项目经理,2026/10/30,2026/12/30,,,,,,,,,,
40,,,,TR5：样机试制质量三方评价测试,,,,2027/1/1,2027/3/30,试产样板,测试报告,"编制：项目经理
 会签：质量工程师、硬件工程师、软件工程师
 审核：设计部门长、供应链部门长、市场部门长",,,,,,,
41,,,封样,按照具体项目的数量和种类对交付物封样,,,,,,封样样板（小批样板）,每个交付物5块,/,,,,,,,
42,,,生产资料,输出生产所需资料，包含软硬件设计资料（BOM清单、gerber文件、测试烧录工具、测试烧录流程、包装运输要求等）、生产检测工装及说明，定板版本管理（.0）,,,李庆飞,2027/1/1,2027/3/30,生产文件（小批评审）,总成技术条件、BOM清单、gerber文件、生产检测工装和使用说明,"编制：硬件工程师
 会签：工艺工程师、采购、产品经理
 批准：设计部门长、供应链部门长、市场部门长",,,,,,,
43,,,整机试制,客户现场跟线,,,"李庆飞
 赵国峰
 软件工程师",,,/,生产问题台账,/,       ,,,,,,
44,,,★上市评审,"1.开发确认产品测试合格，并且能够符合需求说明书要求；风险问题跟踪表所有问题闭环
  2.产品确认满足用户需求
 3、设计退出审核清单",,,项目经理,,,全流程项目资料,上市评审报告,"编制：项目经理
 会签：软件工程师、硬件工程师、测试工程师、采购、质量、工艺工程师、市场经理
 批准：设计部门长、供应链部门长、市场部门长",,,,,,,
,,,资料归档,项目全流程文档归档、设计雷区更新,,,项目经理,,,/,项目全流程文档归档、设计雷区,"编制：项目经理
 会签：产品经理、硬件工程师、软件工程师、测试工程师、质量工程师、采购、工艺工程师",              ,,,,,,
45,上市,,上市问题、客户反馈跟踪,客户需求跟踪、市场问题跟踪、收集、问题闭环,,,采购,,,市场输入,市场不良台账,"编制：采购、质量
 会签：项目经理、硬件工程师、软件工程师
 批准：设计部门长、质量部门长",,,,,,,
46,,,1k研发退出评审,确认市场反馈问题全部闭环，客户需求有闭环方案，即可退出,,,项目经理,,,市场不良台账,研发退出评审表,"编制：项目经理
 会签：软件工程师、硬件工程师、测试工程师、采购、质量、工艺工程师、市场经理
 批准：设计部门长、供应链部门长、市场部门长",              ,,,,,,
项目经理,,,,项目组成员,,,会签,,,,,,,,,,,,
项目研发负责人,,,,,,,,,,,,,,,,,,,
